24 0 0 1 1 0.491  0.007  0.007 0.205 0.438
24 0 0 1 2 0.566  0.008  0.008 0.205 0.438
24 1 1 0 1 0.575  0.006  0.006 0.205 0.438
24 1 1 0 2 0.676  0.008  0.008 0.205 0.438
16 0 0 1 1 0.589  0.022  0.022 0.226 0.488
16 0 0 1 2 0.780  0.032  0.032 0.226 0.488
16 1 1 0 1 0.682  0.021  0.021 0.226 0.488
