16 0 0 1 1 1 0.6605  0.0037  0.003
16 0 0 1 1 2 0.947  0.012    0.012
14 0 0 1 1 1 0.7069  0.00019  0.0019 
14 0 0 1 1 2 1.001  0.010  0.010
24 0 0 1 1 1 0.5974  0.0017  0.0017 
24 0 0 1 1 2 0.847  0.013   0.013
16 1 1 0 2 1 0.7627  0.0043  0.0043
24 1 1 0 2 1 0.5436  0.0021  0.021
24 1 1 0 2 2 0.9396  0.0050   0.0050
